	category	file
0	FA	TEST\FA\0.999....txt
1	FA	TEST\FA\1080Snowboarding.txt
2	FA	TEST\FA\1896SummerOlympics.txt
3	FA	TEST\FA\1926WorldSeries.txt
4	FA	TEST\FA\1950UnitedStatesSenateelectioninCalifornia.txt
5	FA	TEST\FA\1951Philadelphiamunicipalelection.txt
6	FA	TEST\FA\1957Canadianfederalelection.txt
7	FA	TEST\FA\1981Irishhungerstrike.txt
8	FA	TEST\FA\1987GirodItalia.txt
9	FA	TEST\FA\1stProvisionalMarineBrigade.txt
10	FA	TEST\FA\2000SugarBowl.txt
11	FA	TEST\FA\2002Bouin-Zahraearthquake.txt
12	FA	TEST\FA\2006GatorBowl.txt
13	FA	TEST\FA\2009InternationalBowl.txt
14	FA	TEST\FA\2009NewYorks20thcongressionaldistrictspecialelection.txt
15	FA	TEST\FA\201213MichiganWolverinesmensbasketballteam.txt
16	FA	TEST\FA\2013Atlantichurricaneseason.txt
17	FA	TEST\FA\2014JapaneseGrandPrix.txt
18	FA	TEST\FA\68thNewYorkInfantryRegiment.txt
19	FA	TEST\FA\7thArmyKingdomofYugoslavia.txt
20	FA	TEST\FA\A.E.J.Collins.txt
21	FA	TEST\FA\AccurateNewsandInformationAct.txt
22	FA	TEST\FA\Acrocanthosaurus.txt
23	FA	TEST\FA\AftertheDelugepainting.txt
24	FA	TEST\FA\AgeofEmpiresII.txt
25	FA	TEST\FA\Aghartaalbum.txt
26	FA	TEST\FA\AHSCentaur.txt
27	FA	TEST\FA\AirMataIboe.txt
28	FA	TEST\FA\Albertosaurus.txt
29	FA	TEST\FA\AlbertPrinceConsort.txt
30	FA	TEST\FA\AmericanCreamDraft.txt
31	FA	TEST\FA\Anbarcampaign20032011.txt
32	FA	TEST\FA\AnnaAnderson.txt
33	FA	TEST\FA\AnnaLaetitiaBarbauld.txt
34	FA	TEST\FA\Ant.txt
35	FA	TEST\FA\Antarctica.txt
36	FA	TEST\FA\Anti-tobaccomovementinNaziGermany.txt
37	FA	TEST\FA\Antlia.txt
38	FA	TEST\FA\AradiaortheGospeloftheWitches.txt
39	FA	TEST\FA\Armillarialuteobubalina.txt
40	FA	TEST\FA\ArnoldBax.txt
41	FA	TEST\FA\AshfordvThornton.txt
42	FA	TEST\FA\AsmaraMoerni.txt
43	FA	TEST\FA\Aspergersyndrome.txt
44	FA	TEST\FA\Associationfootball.txt
45	FA	TEST\FA\Astatine.txt
46	FA	TEST\FA\Aurigaconstellation.txt
47	FA	TEST\FA\AustraliaattheWinterOlympics.txt
48	FA	TEST\FA\Australianmagpie.txt
49	FA	TEST\FA\AuthenticScienceFiction.txt
50	FA	TEST\FA\AveryBrundage.txt
51	FA	TEST\FA\AVeryMerryUnauthorizedChildrensScientologyPageant.txt
